id,fullName,phoneNumber,username,password,email
69,Bác Huy Nguyễn,+84 82 8394880,lejane,$y98rDDq3v,johndang@example.net
70,Khoa Lê,+84-30-007 8691,john5525,mD2tNBkyH_,duongjane@example.net
71,Hà Nguyễn,(02) 5446 7147,vnguyen,Nhj*U4Ceq#,wtran@example.net
72,Quý cô Lan Mai,+84-83-750 4451,lejane22,n2%5CHto%5,johnpham@example.net
73,Hưng Tấn Hoàng,+84-50-827090,lejohn45,3+I@5j_xWK,tranjohn@example.org
74,Bác Huy Đặng,07 5764631,buijohn84,@zY0dPhi3Y,janevu@example.net
75,Khoa Phạm,+84 52 2470480,ele,4izkV3BTH%,fbui@example.org
76,Ông Nam Hoàng,(06) 2943 9484,kduong,*95p$AyK23,john90@example.net
77,Thành Xuân Vũ,05 2095 0069,jane13,)vrKpd)N73,epham@example.org
78,Bà An Bùi,00 4826 8383,janenguyen,#6P@QEmH&M,ole@example.com
79,Hải Tấn Hoàng,+84-39-520 5402,mtran28,t^63ROuvfp,hoangjane@example.org
80,Chị Yến Mai,+84-82-853 1849,ndang,V4$LBwG$@Z,tranjohn@example.net
81,Bà Lâm Dương,(07)259-3966,john9989,$9RU2Ge$qA,johndang@example.net
82,Bà Mai Bùi,+84 25 5594866,jane12,JbvgX+Ib_9,sle@example.org
83,Anh Bảo Lê,02 4208776,jane28,!jJ2KY@T59,phamjohn@example.org
84,Ông Dũng Nguyễn,+84-49-498088,cvu,pEuOg0Ab$i,lejane@example.net
85,Xuân Bùi,+84-73-151060,rpham,(er9L&tSy4,maijane@example.org
86,Hà Bùi,+84-29-602139,johndang,4gJw&adU@P,maijohn@example.net
87,Ông Châu Phạm,(03) 7138 5300,jane29,!d@9MaQxX8,johnpham@example.net
88,Ông Khoa Trần,(03) 7256 0129,janemai,&42#HwUaPk,jane66@example.com
89,Cô Ngọc Bùi,(01)302-8694,atran67,%!k1ORtL$y,phamjane@example.org
90,Anh Quang Trần,03 8429040,jane0868,i5lfmSU)%c,johnnguyen@example.com
91,Quý cô Hà Vũ,+84-43-480964,maijane,UB%05k+k@1,john98@example.com
92,Quý cô Hà Hoàng,+84-51-636 9505,ypham,t^0vUEAzH3,johnpham@example.net
93,Bà Bảo Nguyễn,09 4014 9240,johnbui,+XX9mL2c)w,jane25@example.net
94,Tùng Mai Bảo Dương,03 6804449,lvu,J5CZKDqj(1,sbui@example.com
95,Quang Dương,+84-46-848 9700,hhoang15,4Ei1M6nK(R,mle@example.net
96,Bác Hưng Đặng,+84-29-317 1154,janedang,%O%3TTJpsR,qbui@example.net
97,Quý ông Tú Đặng,05 1538555,ymai,(BWr7Ec$J6,jane17@example.com
98,Thảo Bùi,(05) 8051 7942,hmai,%4^8BgcjCa,tranjohn@example.org
99,Thành Đặng,09 3546 1895,jduong,(I80Z8c53D,bpham@example.com
100,Lâm Nguyễn,+84-28-194 7450,mbui,YE726&Nj(&,vujohn@example.com
